Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
CNN1,471.129313,1.051913707,0.117007374,3.61E-20,4.90E-19,4.90E-19
GPD1,401.0645236,1.62227375,0.181271867,3.45E-20,4.68E-19,4.68E-19
FLT3LG,112.9598796,0.724021216,0.079600981,2.21E-20,3.21E-19,3.21E-19
CDH5,927.9211207,0.596743448,0.065368643,2.05E-20,2.86E-19,2.86E-19
SCN2B,19.80290779,1.445879262,0.159528662,1.67E-20,2.36E-19,2.36E-19
HSPB7,77.55283348,1.15640666,0.127391149,1.60E-20,2.27E-19,2.27E-19
ABCB1,89.7709813,0.981575327,0.107876903,1.53E-20,2.17E-19,2.17E-19
THBS4,1252.155702,1.27624461,0.140354092,1.32E-20,1.88E-19,1.88E-19
TESC,49.96730679,1.077039732,0.133548089,1.61E-20,1.85E-19,1.85E-19
DPT,780.3602737,1.044997674,0.114646644,1.24E-20,1.78E-19,1.78E-19
GAS7,947.9937407,0.724954668,0.079338273,1.23E-20,1.76E-19,1.76E-19
PLIN4,1288.605449,1.563210674,0.171703106,1.14E-20,1.64E-19,1.64E-19
YPEL4,15.0810584,0.819815996,0.089500084,1.03E-20,1.49E-19,1.49E-19
TCEAL5,22.99780415,0.927099571,0.101293802,9.52E-21,1.37E-19,1.37E-19
BBC3,255.2587338,0.737705659,0.080138526,7.67E-21,1.33E-19,1.33E-19
AHSA2,428.8092386,0.665642728,0.072295305,8.73E-21,1.26E-19,1.26E-19
MEGF6,682.1260709,0.791243921,0.086127339,8.38E-21,1.22E-19,1.22E-19
CPXM1,706.6832339,0.922468586,0.100477805,7.52E-21,1.10E-19,1.10E-19
CNRIP1,167.4903184,0.595268883,0.064363376,6.87E-21,1.01E-19,1.01E-19
GPR162,88.0359241,1.154223342,0.125897628,6.94E-21,9.56E-20,9.56E-20
MORN1,95.46383386,0.830174414,0.09011605,6.25E-21,8.67E-20,8.67E-20
FGF18,15.89912217,1.000067511,0.10856532,5.16E-21,7.68E-20,7.68E-20
MEOX1,106.442098,1.245315347,0.135216284,4.59E-21,7.15E-20,7.15E-20
CHKB.CPT1B,323.0737758,0.695919152,0.075102004,4.63E-21,6.92E-20,6.92E-20
SPSB3,996.4473566,0.589315557,0.063396167,4.59E-21,6.87E-20,6.87E-20
CAV1,1610.080259,0.742879376,0.07985493,3.09E-21,5.94E-20,5.94E-20
GIPC2,27.83143923,1.022775905,0.110822161,4.41E-21,5.35E-20,5.35E-20
SEC31B,103.2297658,0.831522843,0.089501515,3.02E-21,4.62E-20,4.62E-20
EGFL7,617.1937557,0.928852487,0.100012772,2.46E-21,3.78E-20,3.78E-20
TWIST2,29.22273228,0.969771306,0.104188263,2.19E-21,3.38E-20,3.38E-20
GLI1,27.87216974,1.102174627,0.117882755,1.82E-21,2.83E-20,2.83E-20
DCST2,29.71492651,1.078846651,0.115737278,1.72E-21,2.69E-20,2.69E-20
RHOJ,156.2494024,0.6500087,0.069191882,1.62E-21,2.38E-20,2.38E-20
TRIM45,337.6215679,0.703652134,0.074672287,1.03E-21,2.26E-20,2.26E-20
LCAT,57.95277475,0.773972677,0.082662503,1.64E-21,2.09E-20,2.09E-20
ZGLP1,28.82727544,0.902190441,0.096372304,1.34E-21,1.72E-20,1.72E-20
EBF1,199.4547195,0.733743384,0.077848574,9.80E-22,1.57E-20,1.57E-20
SIX5,699.4084099,0.584045931,0.06175467,9.57E-22,1.54E-20,1.54E-20
RASD1,486.5705684,1.165945752,0.124245004,8.92E-22,1.46E-20,1.46E-20
IGF2,2250.528577,0.619657242,0.112474757,7.84E-22,1.27E-20,1.27E-20
ITIH5,421.6199792,1.039799293,0.110455987,7.49E-22,1.21E-20,1.21E-20
GJA4,258.2501111,0.684751002,0.072133363,5.38E-22,1.20E-20,1.20E-20
PTPRB,593.5063612,0.737669366,0.077573789,4.29E-22,8.13E-21,8.13E-21
DLL4,272.7403456,0.589617257,0.061718195,3.74E-22,7.42E-21,7.42E-21
GLYCTK,69.95934371,0.611117602,0.064074732,4.10E-22,6.82E-21,6.82E-21
PPP1R15A,1169.910409,0.599194376,0.062806006,4.01E-22,5.61E-21,5.61E-21
