"","V1","pvals_Basal","pvals_Basal_myo","pvals_L11","pvals_L12","pvals_L2"
"215","GLI3",0.01464,0.05401,0.77554,0.71636,0.17491
"216","GLIPR2",0.26109,0.27319,0.00273,0.30153,0.66427
"217","GPC1",0.2566,0.02372,0.74695,0.71911,0.75961
"218","GPD1L",0.61874,0.66904,0.42739,0.4509,0.00109
"219","GPR160",0.86232,0.8283,0.33329,0.43841,0.00325
"220","GPRC5A",0.67327,0.78826,0.03353,0.01879,0.23462
"221","GPSM2",0.02804,0.42743,0.23853,0.46141,0.05152
"222","GPT2",0.12661,0.01571,0.35869,0.50459,0.2247
"223","GREB1",0.56474,0.5824,0.04134,0.61643,0.00361
"224","GRHL1",0.5479,0.56666,0.01514,0.19586,0.42762
"225","GRK6",0.58263,0.04064,0.29467,0.3731,0.29655
"226","GSTM3",0.00213,0.41025,0.28624,0.51453,0.2403
"227","GYLTL1B",0.34864,0.04025,0.6661,0.64482,0.68701
"228","H2AFY2",0.45786,0.03671,0.38133,0.43008,0.45369
"229","HAPLN3",0.43391,0.00814,0.04265,0.52073,0.68331
"230","HJURP",0.03023,0.72118,0.61812,0.68263,0.62477
"231","HNMT",0.33212,0.43261,0.00294,0.46849,0.51159
"232","HSPA14",0.42735,0.46061,0.52019,0.02388,0.03267
"233","HSPB8",0.57868,0.61263,0.81651,0.69174,0.01976
"234","HTATIP2",0.40792,0.43512,0.04817,0.18504,0.16094
"235","ICA1",0.61749,0.75862,0.06922,0.16779,0.04069
"236","ID4",0.02638,0.40345,0.38549,0.44531,0.66808
"237","IDO1",0.72406,0.7198,0.0082,0.40316,0.69528
"238","IFI44",0.53419,0.04557,0.29353,0.38828,0.66068
"239","IFRD1",0.17484,0.59299,0.0372,0.04346,0.04148
"240","IGBP1",0.18,0.50442,0.04359,0.28346,0.23903
"241","IGF2",0.69272,0.64459,0.64451,0.29212,0.02527
"242","IGFBP2",0.02964,0.02935,0.74574,0.72686,0.72597
"243","IL6ST",0.15808,0.45616,0.42822,0.32409,0.00767
"244","IMPA2",0.15006,0.04957,0.37898,0.505,0.50226
"245","INPP4B",0.5947,0.73586,0.86163,0.77877,0.01383
"246","IQCG",0.62298,0.69781,0.05275,0.03471,0.55524
"247","IQGAP2",0.77552,0.75956,0.00245,0.38521,0.2966
"248","IQGAP3",0.00074,0.59653,0.6312,0.64229,0.6346
"249","IRS1",0.50639,0.45379,0.64633,0.76874,0.00467
"250","IRX5",0.04655,0.26391,0.41683,0.33002,0.21169
"251","ITGA11",0.22949,0.04979,0.74672,0.7531,0.7296
"252","ITGA3",0.19529,0.02306,0.51873,0.44464,0.48758
"253","ITGB8",0.41794,0.07919,0.02985,0.2511,0.64624
"254","ITGBL1",0.30956,0.01081,0.51844,0.62153,0.62446
"255","ITPR1",0.01445,0.01139,0.77926,0.76009,0.57775
"256","IVD",0.07733,0.06791,0.01233,0.37959,0.57918
"257","JKAMP",0.43875,0.34522,0.40658,0.03418,0.01211
"258","KANK2",0.22706,0.04323,0.36215,0.44104,0.47922
"259","KCNE4",0.76655,0.76965,0.70624,0.73217,0.01285
"260","KCNK5",0.58764,0.71717,0.00216,0.41899,0.68505
"261","KCNN4",0.25232,0.03629,0.08075,0.28173,0.62804
"262","KCTD2",0.05557,0.46982,0.31187,0.03553,0.51468
"263","KCTD9",0.53462,0.25759,0.0467,0.11253,0.51719
"264","KDM2B",0.56643,0.52748,0.07957,0.00713,0.12038
"265","KDR",0.74098,0.45737,0.03446,0.82554,0.71225
"266","KIAA0141",0.08865,0.03954,0.05304,0.46522,0.3083
"267","KIAA1370",0.07099,0.08895,0.05408,0.03438,0.19312
"268","KIF11",0.00242,0.62751,0.49461,0.45873,0.43372
"269","KIF13B",0.46184,0.6794,0.01624,0.01444,0.09818
"270","KIF16B",0.47791,0.43043,0.46385,0.53051,0.00207
"271","KIF20A",0.00064,0.63525,0.62432,0.60978,0.62864
"272","KIF23",0.03481,0.55037,0.50946,0.53592,0.10053
"273","KIF2C",0.00055,0.48061,0.54335,0.63137,0.56385
"274","KIF3C",0.26412,0.04184,0.64208,0.64518,0.47703
"275","KIF4A",0.00162,0.68183,0.5256,0.65667,0.6235
"276","KIFC1",0.00038,0.45714,0.49992,0.62994,0.65372
"277","KITLG",0.59373,0.46055,0.49707,0.18443,0.00476
"278","KIT",0.66267,0.70325,0.00926,0.58215,0.67585
"279","KLF5",0.5911,0.34736,0.05356,0.00149,0.52784
"280","KLK10",0.27535,0.38207,0.49167,0.0491,0.67369
"281","KRT16",0.16887,0.04646,0.21755,0.31734,0.51334
"282","KRT23",0.24521,0.22963,0.0459,0.14548,0.35804
"283","KRT6B",0.03081,0.15789,0.19614,0.31189,0.62041
"284","KRT81",0.02967,0.40476,0.46777,0.24571,0.31067
"285","LEO1",0.51527,0.46321,0.41463,0.19547,0.01922
"286","LETMD1",0.33835,0.40653,0.04794,0.38755,0.39522
"287","LFNG",0.33468,0.00574,0.99666,0.85486,0.81622
"288","LMNB1",0.03254,0.58093,0.32272,0.59242,0.46825
"289","LMO4",0.36949,0.09346,0.027,0.33541,0.45909
"290","LMO7",0.51555,0.57213,0.56885,0.61733,0.04834
"291","LMX1B",0.01993,0.02529,0.22151,0.38853,0.35984
"292","LONRF2",0.45787,0.7773,0.71009,0.32604,0.02789
"293","LOXL1",0.24958,0.03206,0.62901,0.5907,0.77046
"294","LPIN1",0.3116,0.46777,0.01267,0.0134,0.20418
"295","LRG1",0.69627,0.86141,0.00946,0.39357,0.31149
"296","LRP2",0.75604,0.73511,0.02466,0.63906,0.33846
"297","LRRC16A",0.49088,0.04515,0.46263,0.41199,0.50003
"298","LRRC8B",0.55139,0.64745,0.15943,0.04018,0.029
"299","LSM2",0.00716,0.25441,0.45598,0.17944,0.31279
"300","LTV1",0.42411,0.48946,0.43522,0.15876,0.03334
"301","LYN",0.42842,0.37843,0.0046,0.13752,0.4075
"302","MAGI3",0.39647,0.41595,0.66349,0.48076,0.01111
"303","MALL",0.67175,0.50074,0.04526,0.01828,0.43461
"304","MAPT",0.6988,0.69484,0.2993,0.68515,0.00116
"305","MCCC1",0.23988,0.28495,0.0419,0.29238,0.31887
"306","MCF2L",0.67941,0.44298,0.01095,0.37397,0.25517
"307","ME2",0.36725,0.10606,0.31574,0.01291,0.10428
"308","MEGF9",0.5526,0.10192,0.30953,0.37698,0.02082
"309","MELK",0.01286,0.37487,0.62951,0.5171,0.41775
"310","MEX3A",0.00349,0.27755,0.17189,0.58377,0.5999
"311","MFAP1",0.11101,0.30233,0.2677,0.03379,0.19633
"312","MFAP3",0.54092,0.50035,0.17191,0.00141,0.06068
"313","MFI2",0.54354,0.37326,0.04062,0.15949,0.67157
"314","MGAT4A",0.64256,0.59971,0.06073,0.0432,0.17602
"315","MICAL3",0.05623,0.03341,0.46563,0.2597,0.43876
"316","MICALL1",0.35439,0.0028,0.26395,0.17067,0.25959
"317","MKI67",0.03475,0.65323,0.65736,0.67381,0.66592
"318","MLPH",0.71623,0.78064,0.30744,0.5247,0.00015
"319","MMP7",0.1936,0.33399,0.00345,0.30224,0.63892
"320","MMP9",0.32865,0.03925,0.62599,0.60018,0.63216
"321","MOAP1",0.40772,0.27833,0.01771,0.16686,0.15758
"322","MON2",0.04942,0.25217,0.3759,0.1669,0.2299
"323","MPP7",0.58886,0.39103,0.85075,0.70043,0.04262
"324","MRAS",0.06759,0.02922,0.0652,0.3259,0.6575
"325","MREG",0.46117,0.21461,0.26863,0.00989,0.16042
"326","MRPL13",0.0437,0.33555,0.32594,0.38428,0.2825
"327","MRPL43",0.0445,0.4952,0.38801,0.3119,0.30547
"328","MRPS24",0.51406,0.58845,0.03001,0.38503,0.62786
"329","MRPS5",0.30593,0.21418,0.30061,0.17318,0.04602
"330","MRS2",0.53434,0.22693,0.54816,0.04984,0.35782
"331","MS4A7",0.73477,0.71774,0.70883,0.71596,0.03945
"332","MSL3",0.15742,0.04346,0.27315,0.20314,0.53179
"333","MTAP",0.41413,0.24561,0.42986,0.12346,0.04197
"334","MTIF2",0.60359,0.37212,0.34505,0.04244,0.15464
"335","MTMR2",0.31919,0.09818,0.21594,0.01974,0.10985
"336","MTUS1",0.30249,0.49809,0.03395,0.03891,0.31916
"337","MUC16",0.71048,0.71089,0.00569,0.5128,0.69074
"338","MUC5B",0.58567,0.68968,0.00596,0.4328,0.66638
"339","MYBL2",0.00396,0.06954,0.43826,0.63628,0.40308
"340","MYB",0.54791,0.60413,0.37075,0.79836,0.00125
"341","MYO5C",0.98687,0.7777,0.5575,0.25161,0.00152
"342","NARF",0.28685,0.04482,0.11175,0.16091,0.28103
"343","NAT1",0.84042,0.75699,0.70438,0.53616,0.00211
"344","NAV1",0.23368,0.04675,0.77025,0.68228,0.74629
"345","NCALD",0.45295,0.56662,0.01275,0.54257,0.67842
"346","NCAPG2",0.08104,0.03793,0.41299,0.53552,0.57693
"347","NCAPG",0.00311,0.66911,0.4597,0.62722,0.51275
"348","NCCRP1",0.72665,0.72255,0.0284,0.523,0.56047
"349","NCK1",0.24632,0.45922,0.02177,0.28554,0.34162
"350","NCK2",0.02001,0.09887,0.13463,0.26034,0.50762
"351","NCOA7",0.04426,0.18716,0.05046,0.35244,0.53424
"352","NCS1",0.03995,0.04264,0.57057,0.48938,0.51693
"353","NEK2",0.01983,0.63636,0.38649,0.65131,0.59512
"354","NFE2L3",0.22343,0.03393,0.44669,0.18159,0.18548
"355","NIP7",0.32165,0.50545,0.31635,0.02845,0.33407
"356","NKAIN1",0.50055,0.63299,0.19166,0.01822,0.38062
"357","NLRC5",0.53733,0.64021,0.30845,0.01041,0.2947
"358","NOL10",0.26923,0.53304,0.27979,0.02445,0.0304
"359","NOP2",0.37619,0.43518,0.37382,0.42122,0.00211
"360","NPDC1",0.09889,0.02459,0.03431,0.3543,0.49476
"361","NPNT",0.57483,0.68697,0.01918,0.37739,0.01069
"362","NR2F2",0.47565,0.51033,0.04241,0.50255,0.38259
"363","NRBP2",0.25058,0.01942,0.58524,0.60169,0.57096
"364","NSMCE1",0.02128,0.30956,0.41206,0.28127,0.20601
"365","NT5DC2",0.32154,0.00595,0.35032,0.02664,0.42404
"366","NTN4",0.44247,0.1152,0.6929,0.47289,0.03301
"367","NUDCD1",0.30172,0.33698,0.20129,0.01322,0.27774
"368","NUDT4",0.03364,0.31925,0.22553,0.43662,0.07263
"369","NUF2",0.04472,0.65213,0.62396,0.64535,0.63026
"370","NUP88",0.49025,0.44003,0.27185,0.05989,0.04764
"371","NUP93",0.25208,0.50174,0.29068,0.0195,0.00854
"372","NUSAP1",0.00407,0.62954,0.46849,0.59464,0.53263
"373","NXN",0.02768,0.05018,0.25101,0.46926,0.66223
"374","ODC1",0.24658,0.45986,0.3592,0.02997,0.0077
"375","OGFOD1",0.51972,0.35761,0.35356,0.3106,0.02329
"376","OLFM2",0.44224,0.01758,0.50145,0.59044,0.62992
"377","OPN3",0.45294,0.31075,0.54812,0.32186,0.01574
"378","PADI2",0.51051,0.34897,0.00042,0.57627,0.66662
"379","PANK3",0.47376,0.47148,0.3704,0.0474,0.03492
"380","PAPD4",0.29246,0.62142,0.01319,0.01617,0.26522
"381","PAPD7",0.04293,0.07809,0.54977,0.31822,0.30763
"382","PARD6B",0.61892,0.66175,0.39659,0.12232,0.04586
"383","PARP12",0.57661,0.48801,0.42443,0.30446,0.01425
"384","PATZ1",0.45912,0.43232,0.00941,0.34738,0.50412
"385","PCBP4",0.38447,0.03504,0.46598,0.45766,0.56721
"386","PCDH1",0.78192,0.786,0.14043,0.00411,0.44892
"387","PCGF2",0.00426,0.27455,0.30073,0.23849,0.64517
"388","PCSK6",0.59584,0.75629,0.71974,0.69711,0.00719
"389","PDE7A",0.00874,0.10189,0.2758,0.59588,0.53841
"390","PDK2",0.0421,0.13939,0.25219,0.59371,0.51787
"391","PDK3",0.70623,0.67963,0.04906,0.46075,0.47287
"392","PELI1",0.58622,0.30739,0.00848,0.00162,0.48038
"393","PGM2",0.54101,0.51703,0.45631,0.17416,0.036
"394","PGR",0.0192,0.06927,0.8467,0.79293,0.20072
"395","PHGDH",0.22417,0.01492,0.11011,0.40763,0.55215
"396","PIK3AP1",0.5492,0.5671,0.01211,0.50609,0.68388
"397","PIM1",0.50226,0.4006,0.02326,0.01255,0.17963
"398","PIP",0.78423,0.77535,0.23075,0.37705,0.01861
"399","PKIB",0.68105,0.87005,0.37481,0.33044,0.02494
"400","PKP1",0.07848,0.00841,0.47166,0.36957,0.59057
"401","PLA2G12A",0.02906,0.14244,0.31434,0.40313,0.12621
"402","PLAT",0.05078,0.01797,0.84562,0.84282,0.49554
"403","PLCH1",0.60813,0.58239,0.01544,0.60681,0.61766
"404","PLEKHA6",0.55571,0.6989,0.32931,0.36128,0.01451
"405","PLEKHB1",0.54027,0.08918,0.01467,0.56654,0.66447
"406","PLEKHF2",0.78963,0.53987,0.13161,0.01932,0.08681
"407","PLEKHG3",0.47892,0.49134,0.21809,0.03609,0.37902
"408","PLEKHO1",0.04149,0.06288,0.65153,0.6264,0.51798
