Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
C15orf52,-1.062873518,1.71E-22,-2.66E-05,-6.37E-05,-0.000116619,-0.000123493,-1.20E-05,2.83E-05,6.73E-05,0.000122263,0.000132137,1.26E-05,1.67E-06,3.64E-06,5.64E-06,8.64E-06,6.22E-07,-4.080114769,-4.209972065,-4.437141411,-3.934273397,-4.344410221,21.76700389
FAM188B,-0.873276493,1.79E-22,-1.96E-06,-3.56E-06,-1.68E-06,-2.16E-06,-1.86E-06,2.28E-06,3.99E-06,2.49E-06,2.67E-06,2.14E-06,3.16E-07,4.28E-07,8.18E-07,5.14E-07,2.87E-07,-2.849559557,-3.218737861,-1.608140099,-2.377236298,-2.901006843,21.74714697
DMKN,-1.496689931,1.90E-22,-0.000119998,-0.000101221,-6.20E-06,-2.54E-05,-2.84E-05,0.000124085,0.000104075,6.76E-06,2.66E-05,0.000029235,4.09E-06,2.85E-06,5.63E-07,1.24E-06,8.27E-07,-4.924174442,-5.18856013,-3.585368789,-4.417235743,-5.14363754,21.7212464
SOCS1,-1.068066226,1.97E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.70553377
PCP4L1,-1.987260854,1.97E-22,-5.55E-06,-3.27E-06,-2.26E-05,-2.70E-06,-1.44E-06,5.85E-06,3.46E-06,2.31E-05,3.09E-06,1.63E-06,3.03E-07,1.83E-07,5.15E-07,3.84E-07,1.87E-07,-4.270813045,-4.23629085,-5.487648846,-3.009510951,-3.119978931,21.70553377
TMEM51,-0.594722856,2.16E-22,-6.40E-06,-1.38E-05,-6.55E-06,-2.07E-05,-2.11E-06,6.50E-06,1.39E-05,6.66E-06,2.09E-05,2.20E-06,9.89E-08,8.13E-08,1.13E-07,1.63E-07,8.86E-08,-6.037158379,-7.418573825,-5.880687023,-6.997586869,-4.631134983,21.66554625
TMEM105,-1.74382845,2.16E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.66554625
RLTPR,-1.631387481,2.18E-22,-1.07E-05,-2.03E-06,-1.53E-06,-5.32E-06,-4.81E-06,1.11E-05,2.19E-06,1.77E-06,5.68E-06,5.01E-06,3.27E-07,1.56E-07,2.42E-07,3.62E-07,1.99E-07,-5.079240298,-3.810250805,-2.869940921,-3.971428856,-4.652386967,21.66154351
YOD1,-0.812439811,2.20E-22,-7.12E-06,-2.76E-06,-5.17E-05,-6.32E-05,-2.01E-05,7.43E-06,3.00E-06,5.23E-05,6.41E-05,2.04E-05,3.13E-07,2.43E-07,5.92E-07,9.43E-07,3.61E-07,-4.5671213,-3.628282737,-6.465113266,-6.086788701,-5.820154582,21.65757732
IL2RG,-1.234098328,2.21E-22,-8.60E-05,-5.29E-05,-0.000210164,-8.20E-05,-9.75E-05,9.39E-05,5.77E-05,0.000225155,8.87E-05,0.000104127,7.90E-06,4.79E-06,1.50E-05,6.65E-06,6.65E-06,-3.570268417,-3.591955156,-3.908721116,-3.73741242,-3.968201868,21.65560773
C6orf41,-0.972277897,2.21E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.65560773
MAST1,-1.783370354,2.22E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.65364703
FPR2,-1.847507162,2.23E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.65169514
ZNF750,-1.126191718,2.28E-22,-9.53E-06,-1.21E-05,-3.30E-05,-1.38E-05,-3.02E-06,9.66E-06,1.22E-05,3.31E-05,1.40E-05,3.13E-06,1.26E-07,1.05E-07,1.42E-07,2.00E-07,1.05E-07,-6.261488495,-6.864508203,-7.86147721,-6.124188465,-4.899111237,21.64206515
CD300E,-2.065051605,2.29E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.64016452
FLNA,-0.777506837,2.46E-22,6.74E-06,2.58E-06,-2.78E-07,6.76E-06,-0.000016172,0.000179392,0.000282308,7.77E-05,0.000196855,0.000194163,0.000186131,0.000284885,7.74E-05,0.000203616,0.000177991,0.053202801,0.013109649,-0.005175161,0.048717575,-0.125464011,21.60906489
LILRA3,-1.962014903,2.51E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.60032628
MAP7D3,-1.058216804,2.67E-22,-1.86E-05,-1.00E-05,-2.69E-06,-5.87E-06,-1.76E-06,2.17E-05,1.09E-05,3.15E-06,6.51E-06,1.99E-06,3.10E-06,8.96E-07,4.56E-07,6.42E-07,2.31E-07,-2.809961149,-3.604165807,-2.78857856,-3.343304027,-3.105934053,21.57348874
ZCCHC11,-0.821716648,2.73E-22,-0.000254277,-0.000170709,-2.34E-05,-5.16E-05,-5.71E-06,0.000267698,0.000179032,2.48E-05,5.50E-05,6.14E-06,1.34E-05,8.32E-06,1.45E-06,3.39E-06,4.31E-07,-4.318010036,-4.426905895,-4.099230437,-4.021128425,-3.832239636,21.56383735
LOC729603,-0.691104425,2.80E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.55284197
ADRA2B,-1.176709436,2.93E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.53313238
PLAG1,-1.262335528,3.00E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.52287875
ZBTB8B,-3.049534787,3.22E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.49214413
HMGB2,-0.744330295,3.29E-22,9.67E-06,-8.64E-06,2.22E-06,0.000001107,-7.20E-06,0.00026694,0.000269096,0.000138973,0.000172781,6.12E-05,0.000276609,0.000260459,0.000141189,0.000173888,5.40E-05,0.051332594,-0.047064657,0.022823073,0.009213797,-0.180622084,21.4828041
CD70,-1.536432363,3.40E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.46852108
PRC1,-1.003912322,3.60E-22,-0.000393353,-3.04E-05,-2.49E-05,-1.99E-05,-3.07E-05,0.000682614,4.73E-05,3.94E-05,3.30E-05,5.02E-05,0.000289261,1.69E-05,1.46E-05,1.31E-05,1.95E-05,-1.23869818,-1.482808171,-1.437976531,-1.330239751,-1.365327227,21.4436975
HLA.A,-0.879137221,3.63E-22,0.000014284,0.000007177,0.00001286,0.000018638,-0.000007404,0.000195094,0.000182962,0.000207635,0.000240123,0.000132431,0.000209378,0.000190139,0.000220495,0.000258761,0.000125027,0.101940452,0.055510437,0.086696289,0.107846596,-0.08300119,21.44009337
DUSP9,-2.285838987,3.79E-22,6.49E-07,3.81E-06,4.52E-08,-6.51E-08,-2.26E-07,3.73E-07,3.41E-07,4.25E-07,5.78E-07,4.23E-07,1.02E-06,4.15E-06,4.71E-07,5.13E-07,1.96E-07,1.454408929,3.603111124,0.145563549,-0.172522147,-1.106353939,21.42136079
C6orf124,-1.026771346,3.92E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.40671393
LANCL2,-1.099491681,4.13E-22,-3.63E-05,-2.95E-05,-6.07E-05,-9.34E-05,-0.000110442,3.85E-05,3.15E-05,6.41E-05,9.93E-05,0.000116316,2.25E-06,2.04E-06,3.38E-06,5.86E-06,5.87E-06,-4.099031182,-3.945980638,-4.245516623,-4.082071537,-4.307577223,21.38404995
FAM127C,-0.750195324,4.46E-22,-6.34E-05,-7.49E-05,-2.92E-05,-2.28E-05,-6.11E-06,6.51E-05,7.69E-05,3.00E-05,2.37E-05,6.45E-06,1.67E-06,1.99E-06,8.25E-07,9.46E-07,3.41E-07,-5.285283868,-5.272186702,-5.184133078,-4.648338296,-4.242221865,21.35066514
TFAP4,-0.586444129,4.48E-22,-4.69E-06,-1.61E-05,-7.72E-06,-1.95E-05,-1.28E-05,4.81E-06,1.62E-05,7.86E-06,1.97E-05,1.29E-05,1.26E-07,1.06E-07,1.43E-07,2.11E-07,1.09E-07,-5.254382506,-7.252920687,-5.780471065,-6.541547741,-6.894078081,21.34872199
ZNF280A,-4.379588775,5.65E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.24795155
P2RY6,-1.077823041,5.68E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.24565166
SLC39A14,-0.637016403,5.70E-22,-0.000014435,-0.000030483,-0.000023049,-1.44E-05,-5.02E-06,0.000239693,0.000283631,0.000169495,0.00010705,1.89E-05,0.000225258,0.000253148,0.000146446,9.26E-05,1.39E-05,-0.089609433,-0.164034137,-0.210873927,-0.209178885,-0.445574451,21.24412514
UMODL1,-1.907542732,5.70E-22,-3.00E-06,-1.34E-06,-2.37E-06,-4.64E-06,-2.41E-06,3.09E-06,1.41E-06,2.47E-06,4.79E-06,2.49E-06,9.02E-08,7.41E-08,1.03E-07,1.49E-07,8.08E-08,-5.099788124,-4.253763183,-4.583211772,-5.007567537,-4.946820647,21.24412514
DHTKD1,-0.667930403,6.24E-22,0.000029306,6.81E-06,0.000010575,-1.89E-06,-0.000002496,0.000196132,7.70E-05,0.000340183,3.99E-05,0.000128992,0.000225438,8.38E-05,0.000350758,3.80E-05,0.000126496,0.20090578,0.122294615,0.044164962,-0.06995986,-0.028189828,21.20481541
SLC1A6,-3.69021355,6.61E-22,1.23E-06,-1.15E-07,-1.56E-07,-1.91E-07,-1.85E-07,3.26E-07,2.98E-07,3.74E-07,5.07E-07,3.70E-07,1.56E-06,1.83E-07,2.18E-07,3.16E-07,1.84E-07,2.253367016,-0.704081163,-0.778659649,-0.682578764,-1.004659483,21.17979854
C3orf24,-2.593872775,6.69E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.17457388
BIN2,-0.90308576,6.70E-22,-6.53E-06,-2.56E-06,-7.58E-06,-0.000130052,-5.20E-06,6.68E-06,2.67E-06,7.75E-06,0.00013031,5.32E-06,1.49E-07,1.10E-07,1.72E-07,2.58E-07,1.21E-07,-5.490275688,-4.597463028,-5.491423075,-8.977645941,-5.457939426,21.1739252
IL12A,-1.685900979,7.10E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.14874165
C1orf94,-6.073025071,8.28E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.08196966
E2F1,-1.060027291,8.76E-22,-0.000168459,-3.91E-05,-9.85E-05,-1.01E-05,-2.83E-05,0.000176927,4.09E-05,0.000104151,1.11E-05,2.96E-05,8.47E-06,1.75E-06,5.67E-06,9.93E-07,1.39E-06,-4.385033445,-4.549378291,-4.198980606,-3.485641631,-4.416150273,21.05749589
C20orf20,-0.604522648,8.76E-22,-2.31E-05,-2.69E-05,-2.40E-05,-4.04E-05,-1.57E-05,2.47E-05,2.88E-05,0.000026749,4.45E-05,1.76E-05,1.62E-06,1.89E-06,2.71E-06,4.15E-06,1.84E-06,-3.931450495,-3.930699333,-3.301359166,-3.423074637,-3.259257652,21.05749589
TP53I3,-0.661769881,8.87E-22,-2.15E-05,-2.21E-05,-6.42E-06,-1.48E-05,-1.45E-05,2.17E-05,2.23E-05,0.000006635,1.51E-05,1.46E-05,2.47E-07,1.65E-07,2.15E-07,3.15E-07,1.64E-07,-6.459081097,-7.072664099,-4.950892226,-5.579052446,-6.479756312,21.05207638
C11orf45,-0.76806539,8.90E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.05060999
SEC61G,-0.920205416,9.05E-22,-9.80E-05,-9.55E-05,-0.000109697,-0.000127861,-7.80E-05,0.000181809,0.000170305,0.000195682,0.000241054,0.000127377,8.38E-05,7.48E-05,8.60E-05,0.000113193,4.94E-05,-1.116652771,-1.186358851,-1.186360856,-1.090571627,-1.366773031,21.04335142
ZNF492,-1.666876578,9.11E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.04048162
DKK1,-2.203924758,9.70E-22,-8.09E-05,-1.04E-05,-4.02E-06,-3.27E-05,-4.08E-06,8.32E-05,1.09E-05,4.43E-06,3.42E-05,4.37E-06,2.35E-06,5.29E-07,4.14E-07,1.50E-06,2.95E-07,-5.145200864,-4.370868593,-3.420950938,-4.510399194,-3.891797162,21.01322827
ATP10B,-2.275223993,9.71E-22,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,21.01278077
NFKBIB,-0.663390812,1.00E-21,-3.66E-05,-8.95E-06,-2.93E-05,-6.22E-05,-6.93E-05,3.76E-05,9.32E-06,3.00E-05,0.000063568,7.02E-05,1.03E-06,3.76E-07,6.90E-07,1.36E-06,9.30E-07,-5.18956379,-4.631567453,-5.442965345,-5.546272119,-6.237850527,21
CABLES2,-0.70246063,1.03E-21,-0.000103834,-4.06E-05,-3.30E-05,-3.17E-05,-3.74E-06,0.000106234,4.18E-05,3.41E-05,0.000032887,4.09E-06,2.40E-06,1.19E-06,1.09E-06,1.22E-06,3.48E-07,-5.468043311,-5.130284627,-4.97106225,-4.748702634,-3.554931032,20.98716278
C6orf129,-0.769918554,1.03E-21,-3.42E-05,-2.00E-05,-1.49E-05,-2.35E-05,-9.77E-06,3.47E-05,2.05E-05,1.55E-05,2.43E-05,1.01E-05,5.21E-07,4.49E-07,5.96E-07,8.27E-07,3.45E-07,-6.058295102,-5.513205438,-4.698989876,-4.876000021,-4.873228397,20.98716278
IRX1,-1.905739563,1.05E-21,-9.11E-05,-9.53E-05,-2.89E-06,-4.37E-06,-2.16E-06,9.62E-05,0.000100029,3.34E-06,5.00E-06,2.40E-06,5.09E-06,4.71E-06,4.50E-07,6.28E-07,2.42E-07,-4.239229754,-4.410006198,-2.891400746,-2.994320905,-3.30823117,20.9788107
RASGRP3,-0.680312201,1.09E-21,-3.83E-06,-2.30E-06,-2.35E-05,-8.28E-05,-2.56E-06,4.11E-06,2.50E-06,2.40E-05,8.42E-05,2.74E-06,2.81E-07,1.94E-07,4.93E-07,1.38E-06,1.72E-07,-3.869670858,-3.689784552,-5.606890966,-5.934304167,-3.992887543,20.9625735
PCDHB17,-1.825963526,1.09E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.9625735
PARVB,-0.702413993,1.09E-21,-6.88E-06,-1.11E-05,-5.68E-05,-3.36E-05,-0.000249096,7.57E-06,1.17E-05,6.05E-05,3.60E-05,0.000260533,6.94E-07,6.33E-07,3.68E-06,2.33E-06,1.14E-05,-3.448080839,-4.210641858,-4.037996464,-3.945272926,-4.509736,20.9625735
SEMA7A,-0.700053671,1.10E-21,-3.75E-06,-9.24E-06,-4.06E-06,-1.58E-05,-5.31E-06,4.00E-06,9.45E-06,4.29E-06,0.000016203,5.47E-06,2.48E-07,2.13E-07,2.32E-07,4.39E-07,1.61E-07,-4.012159807,-5.469654304,-4.209166582,-5.207020564,-5.087617289,20.95860731
NOL4,-2.902786837,1.11E-21,4.01E-07,1.75E-08,-6.40E-08,-8.31E-08,-2.54E-08,3.69E-07,3.37E-07,4.22E-07,5.76E-07,4.22E-07,7.70E-07,3.54E-07,3.58E-07,4.93E-07,3.97E-07,1.061320555,0.073180248,-0.237221569,-0.224544607,-0.089513731,20.95467702
GBX2,-2.863669046,1.13E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.94692156
HSF1,-0.625407128,1.16E-21,-6.77E-06,-0.000035827,-0.000009999,-8.57E-06,-0.000050713,0.000106527,0.000338886,0.000111528,9.10E-05,0.000257258,9.98E-05,0.000303059,0.000101529,8.24E-05,0.000206545,-0.094704568,-0.161201351,-0.135514089,-0.142737253,-0.316759805,20.93554201
LGALS7B,-0.611695544,1.18E-21,-1.28E-05,-6.08E-06,-7.96E-07,-1.28E-06,-1.04E-06,1.30E-05,6.19E-06,9.35E-07,1.47E-06,1.14E-06,1.40E-07,1.08E-07,1.38E-07,1.92E-07,9.67E-08,-6.531335266,-5.842990211,-2.755266115,-2.943448088,-3.559704576,20.92811799
CENPI,-1.184912633,1.27E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.89619628
IL18R1,-0.942433256,1.30E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.88605665
PRPS2,-0.603320927,1.31E-21,-0.000021575,-0.000112868,-0.000063668,-1.42E-05,-2.77E-05,7.81E-05,0.000414715,0.000181673,4.01E-05,7.82E-05,5.65E-05,0.000301847,0.000118005,2.59E-05,5.05E-05,-0.466483527,-0.458302767,-0.622496035,-0.630759929,-0.630535845,20.8827287
P2RX5,-1.148880974,1.49E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.82681373
B3GAT2,-0.960550502,1.59E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.79860288
ACRV1,-1.929698018,1.61E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.79317412
PPYR1,-2.468514799,1.70E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.76955108
FOLR1,-2.281466608,1.73E-21,-4.62E-06,-2.16E-06,-0.000208388,-1.45E-05,-2.07E-06,4.98E-06,2.41E-06,0.000213497,1.52E-05,2.28E-06,3.61E-07,2.50E-07,5.11E-06,6.33E-07,2.14E-07,-3.7869163,-3.272717619,-5.384937868,-4.584550907,-3.411579659,20.7619539
ANKRD35,-1.405621494,1.73E-21,-3.45E-05,-1.83E-05,-4.83E-06,-3.47E-06,-2.33E-06,3.47E-05,1.84E-05,5.04E-06,3.73E-06,2.47E-06,2.09E-07,1.45E-07,2.10E-07,2.51E-07,1.42E-07,-7.377815341,-6.995220706,-4.583100697,-3.893679437,-4.118172494,20.7619539
EPHB1,-1.53246907,1.75E-21,-8.43E-06,-2.51E-05,-3.68E-06,-2.36E-06,-1.64E-06,8.73E-06,2.55E-05,3.90E-06,2.69E-06,1.79E-06,3.00E-07,3.66E-07,2.27E-07,3.29E-07,1.45E-07,-4.864126273,-6.122049951,-4.104955838,-3.028899236,-3.619788026,20.75696195
DSG2,-0.703851362,1.75E-21,0.00001237,0.00001625,-8.95E-07,0.000021847,-0.000009974,0.000181833,0.000195013,6.90E-05,0.000366275,0.000147797,0.000194203,0.000211263,6.81E-05,0.000388122,0.000137823,0.094951436,0.115469819,-0.018827853,0.083582978,-0.10080032,20.75696195
GSTA1,-2.638881048,1.77E-21,-2.19E-06,-2.52E-06,-5.07E-05,-1.63E-05,-1.68E-06,2.46E-06,2.72E-06,5.22E-05,0.000016785,1.87E-06,2.73E-07,2.03E-07,1.54E-06,5.13E-07,1.90E-07,-3.170531473,-3.745366325,-5.083207066,-5.032767513,-3.298226624,20.75202673
EPHA2,-0.839029928,1.95E-21,-4.38E-06,-3.71E-06,-2.91E-05,-0.000074675,-5.80E-05,5.26E-06,4.32E-06,3.37E-05,8.69E-05,6.20E-05,8.82E-07,0.000000619,4.60E-06,1.22E-05,3.92E-06,-2.575936653,-2.804411928,-2.873858238,-2.831094706,-3.982294182,20.70996539
CEP72,-0.69563763,1.98E-21,-1.16E-07,1.74E-07,-4.89E-08,7.02E-07,-1.65E-07,3.74E-07,3.42E-07,4.28E-07,5.80E-07,4.25E-07,2.58E-07,5.16E-07,3.79E-07,1.28E-06,2.60E-07,-0.536446021,0.59451419,-0.17518359,1.143790986,-0.707884535,20.70333481
IRF4,-1.43466327,1.99E-21,-7.16E-06,-8.35E-05,-6.76E-06,-2.41E-05,-5.22E-06,7.31E-06,8.37E-05,6.94E-06,2.43E-05,5.35E-06,1.56E-07,1.41E-07,1.84E-07,2.56E-07,1.33E-07,-5.547816492,-9.211893744,-5.237599294,-6.573741199,-5.331843917,20.70114692
PITPNM2,-0.854985504,2.02E-21,-2.61E-06,-2.87E-06,-6.01E-06,-6.49E-07,-1.88E-06,3.31E-06,3.81E-06,8.07E-06,6.30E-06,2.59E-06,7.00E-07,9.42E-07,2.07E-06,5.65E-06,7.06E-07,-2.238999116,-2.015269739,-1.964792812,-0.15669721,-1.873931925,20.69464863
C8orf47,-2.401065686,2.02E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.69464863
SLC23A3,-1.106087036,2.05E-21,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,20.68824614
