Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
LY6D,-3.158034937,4.56E-49,-1.98E-06,-2.26E-06,-0.000176592,-4.18E-06,-4.58E-06,2.10E-06,2.36E-06,0.000176742,4.38E-06,4.69E-06,1.23E-07,1.03E-07,1.50E-07,2.03E-07,1.06E-07,-4.094281697,-4.516782541,-10.20548027,-4.434361696,-5.465553216,48.34103516
ZNF124,-0.988392982,6.27E-49,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,48.20273246
IL27RA,-1.456395242,6.94E-49,-7.62E-05,-0.000276011,-0.000102661,-1.38E-05,-3.08E-06,7.69E-05,0.000277755,0.000103406,1.42E-05,3.30E-06,7.07E-07,1.74E-06,7.45E-07,4.67E-07,2.17E-07,-6.7648039,-7.31532694,-7.117584317,-4.929530898,-3.924318089,48.15864053
TNFSF13B,-1.580564997,7.26E-49,-1.00E-05,-8.20E-06,-3.66E-06,-1.65E-05,-1.09E-05,1.01E-05,8.29E-06,3.77E-06,1.67E-05,0.000011021,1.01E-07,8.28E-08,1.15E-07,1.66E-07,9.03E-08,-6.654713709,-6.645200999,-5.033574175,-6.649942917,-6.931824776,48.13906338
ELOVL4,-1.801377705,8.38E-49,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,48.07675598
CCT6A,-0.940967029,8.42E-49,0.000010444,2.66E-06,6.52E-06,0.000005173,-0.000015158,0.000222152,0.00018066,0.000196066,0.00014805,0.000192951,0.000232596,0.000183322,0.000202581,0.000153223,0.000177793,0.066279157,0.021102816,0.047159493,0.049548383,-0.118035997,48.07468791
FOSL1,-2.162978078,8.46E-49,-7.84E-06,-8.89E-06,-6.96E-06,-2.02E-05,-1.77E-05,8.15E-06,9.24E-06,7.26E-06,2.08E-05,1.80E-05,3.12E-07,3.44E-07,3.03E-07,6.36E-07,3.56E-07,-4.708509738,-4.745064142,-4.583204544,-5.035195729,-5.660164187,48.07262964
GAR1,-0.689895151,8.57E-49,-4.56E-05,-2.45E-05,-3.24E-05,-5.77E-05,-4.35E-05,4.58E-05,2.47E-05,0.000032601,5.80E-05,4.36E-05,1.60E-07,1.29E-07,1.88E-07,2.65E-07,1.37E-07,-8.161582386,-7.58003288,-7.435088312,-7.77569987,-8.313081566,48.06701918
MAGOHB,-0.857659908,9.06E-49,-3.65E-05,-8.10E-06,-2.80E-05,-7.55E-05,-5.38E-05,3.67E-05,8.21E-06,2.82E-05,7.57E-05,5.39E-05,1.52E-07,1.18E-07,1.77E-07,2.37E-07,1.27E-07,-7.910672354,-6.123939267,-7.31152066,-8.317576988,-8.734045622,48.0428718
EIF3B,-0.679828759,9.17E-49,-0.000001736,-4.26E-06,-2.45E-06,-6.29E-07,-0.000046794,0.000119403,0.000136821,0.000168144,0.000180835,0.000386534,0.000117667,0.000132561,0.000165699,0.000180206,0.00033974,-0.021129315,-0.045633289,-0.021132403,-0.005026887,-0.186164234,48.03763066
